ProbeID	min	0.5%	1%	2.5%	97.5%	99%	99.5%	max	mean	sd	thr	thrNum	pval	Perc -1.00	Perc -0.95	Perc -0.90	Perc -0.85	Perc -0.80	Perc -0.75	Perc -0.70	Perc -0.65	Perc -0.60	Perc -0.55	Perc -0.50	Perc -0.45	Perc -0.40	Perc -0.35	Perc -0.30	Perc -0.25	Perc -0.20	Perc -0.15	Perc -0.10	Perc -0.05	Perc 0.00	Perc 0.05	Perc 0.10	Perc 0.15	Perc 0.20	Perc 0.25	Perc 0.30	Perc 0.35	Perc 0.40	Perc 0.45	Perc 0.50	Perc 0.55	Perc 0.60	Perc 0.65	Perc 0.70	Perc 0.75	Perc 0.80	Perc 0.85	Perc 0.90	Perc 0.95	Perc 1.00	Expr -1.00	Expr -0.95	Expr -0.90	Expr -0.85	Expr -0.80	Expr -0.75	Expr -0.70	Expr -0.65	Expr -0.60	Expr -0.55	Expr -0.50	Expr -0.45	Expr -0.40	Expr -0.35	Expr -0.30	Expr -0.25	Expr -0.20	Expr -0.15	Expr -0.10	Expr -0.05	Expr 0.00	Expr 0.05	Expr 0.10	Expr 0.15	Expr 0.20	Expr 0.25	Expr 0.30	Expr 0.35	Expr 0.40	Expr 0.45	Expr 0.50	Expr 0.55	Expr 0.60	Expr 0.65	Expr 0.70	Expr 0.75	Expr 0.80	Expr 0.85	Expr 0.90	Expr 0.95	Expr 1.00	Abs 1.00	Abs 1.20	Abs 1.40	Abs 1.60	Abs 1.80	Abs 2.00	Abs 2.20	Abs 2.40	Abs 2.60	Abs 2.80	Abs 3.00	Abs 3.20	Abs 3.40	Abs 3.60	Abs 3.80	Abs 4.00	Abs 4.20	Abs 4.40	Abs 4.60	Abs 4.80	Abs 5.00	Abs 5.20	Abs 5.40	Abs 5.60	Abs 5.80	Abs 6.00	Abs 6.20	Abs 6.40	Abs 6.60	Abs 6.80	Abs 7.00	Abs 7.20	Abs 7.40	Abs 7.60	Abs 7.80	Abs 8.00	Abs 8.20	Abs 8.40	Abs 8.60	Abs 8.80	Abs 9.00	Abs 9.20	Abs 9.40	Abs 9.60	Abs 9.80	Abs 10.00	Abs 10.20	Abs 10.40	Abs 10.60	Abs 10.80	Abs 11.00	Abs 11.20	Abs 11.40	Abs 11.60	Abs 11.80	Abs 12.00	Abs 12.20	Abs 12.40	Abs 12.60	Abs 12.80	Abs 13.00	Abs 13.20	Abs 13.40	Abs 13.60	Abs 13.80	Abs 14.00	Abs 14.20	Abs 14.40	Abs 14.60	Abs 14.80	Abs 15.00	Abs 15.20	Abs 15.40	Abs 15.60	Abs 15.80	Abs 16.00
RHOC	4.79245	4.79245	4.79245	4.79245	8.07435	8.07435	8.07435	8.09016	6.59458833333333	1.42529690377615	6.59458833333333	3	0.332578397212544	4.79	4.79	4.79	4.79	4.79	4.79	4.79	4.79	4.79	4.79	5.33	5.33	5.33	5.33	5.33	5.33	5.33	5.33	5.33	5.33	6.59	7.85	7.85	7.85	7.85	7.85	7.85	7.85	7.85	7.85	8.07	8.07	8.07	8.07	8.07	8.07	8.07	8.07	8.07	8.07	8.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGFR2	1.58019	1.58019	1.58019	1.58019	2.86781	2.86781	2.86781	2.95212	2.30142333333333	0.550392195792134	2.30142333333333	3	0.632926829268293	1.58	1.58	1.58	1.58	1.58	1.58	1.58	1.58	1.58	1.58	1.84	1.84	1.84	1.84	1.84	1.84	1.84	1.84	1.84	1.84	2.30	2.70	2.70	2.70	2.70	2.70	2.70	2.70	2.70	2.70	2.87	2.87	2.87	2.87	2.87	2.87	2.87	2.87	2.87	2.87	2.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPEL4	-0.795495	-0.795495	-0.795495	-0.795495	1.92301	1.92301	1.92301	2.24526	0.877378516666667	1.13349524869988	0.877378516666667	3	0.939547038327526	-0.80	-0.80	-0.80	-0.80	-0.80	-0.80	-0.80	-0.80	-0.80	-0.80	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03	0.88	1.70	1.70	1.70	1.70	1.70	1.70	1.70	1.70	1.70	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	1.92	2.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTM1	2.16486	2.16486	2.16486	2.16486	3.86382	3.86382	3.86382	3.86707	3.12424	0.714332028564681	3.12424	3	0.553484320557491	2.16	2.16	2.16	2.16	2.16	2.16	2.16	2.16	2.16	2.16	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	3.12	3.74	3.74	3.74	3.74	3.74	3.74	3.74	3.74	3.74	3.86	3.86	3.86	3.86	3.86	3.86	3.86	3.86	3.86	3.86	3.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COQ10B	3.15762	3.15762	3.15762	3.15762	4.5971	4.5971	4.5971	4.66858	4.00369166666667	0.602769284729974	4.00369166666667	3	0.682578397212544	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.16	3.54	3.54	3.54	3.54	3.54	3.54	3.54	3.54	3.54	3.54	4.00	4.51	4.51	4.51	4.51	4.51	4.51	4.51	4.51	4.51	4.60	4.60	4.60	4.60	4.60	4.60	4.60	4.60	4.60	4.60	4.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFNA1	3.98445	3.98445	3.98445	3.98445	5.86349	5.86349	5.86349	5.90673	4.91080833333333	0.873872959081521	4.91080833333333	3	0.30609756097561	3.98	3.98	3.98	3.98	3.98	3.98	3.98	3.98	3.98	3.98	3.99	3.99	3.99	3.99	3.99	3.99	3.99	3.99	3.99	3.99	4.91	5.56	5.56	5.56	5.56	5.56	5.56	5.56	5.56	5.56	5.86	5.86	5.86	5.86	5.86	5.86	5.86	5.86	5.86	5.86	5.91	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITM2B	5.29591	5.29591	5.29591	5.29591	6.87571	6.87571	6.87571	6.989	6.181505	0.673555524431106	6.181505	3	0.674564459930314	5.30	5.30	5.30	5.30	5.30	5.30	5.30	5.30	5.30	5.30	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	5.62	6.18	6.65	6.65	6.65	6.65	6.65	6.65	6.65	6.65	6.65	6.88	6.88	6.88	6.88	6.88	6.88	6.88	6.88	6.88	6.88	6.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEAD1	3.01858	3.01858	3.01858	3.01858	4.66971	4.66971	4.66971	4.84426	3.98657333333333	0.6987995858534	3.98657333333333	3	0.842857142857143	3.02	3.02	3.02	3.02	3.02	3.02	3.02	3.02	3.02	3.02	3.39	3.39	3.39	3.39	3.39	3.39	3.39	3.39	3.39	3.39	3.99	4.46	4.46	4.46	4.46	4.46	4.46	4.46	4.46	4.46	4.67	4.67	4.67	4.67	4.67	4.67	4.67	4.67	4.67	4.67	4.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRK	-0.404333	-0.404333	-0.404333	-0.404333	3.29443	3.29443	3.29443	3.3331	1.558134	1.68499840518569	1.558134	3	0.200522648083624	-0.40	-0.40	-0.40	-0.40	-0.40	-0.40	-0.40	-0.40	-0.40	-0.40	-0.16	-0.16	-0.16	-0.16	-0.16	-0.16	-0.16	-0.16	-0.16	-0.16	1.56	3.07	3.07	3.07	3.07	3.07	3.07	3.07	3.07	3.07	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.29	3.33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC15A2	-0.721058	-0.721058	-0.721058	-0.721058	1.76157	1.76157	1.76157	1.93934	0.6510945	1.11339505967914	0.6510945	3	0.513763066202091	-0.72	-0.72	-0.72	-0.72	-0.72	-0.72	-0.72	-0.72	-0.72	-0.72	-0.49	-0.49	-0.49	-0.49	-0.49	-0.49	-0.49	-0.49	-0.49	-0.49	0.65	1.53	1.53	1.53	1.53	1.53	1.53	1.53	1.53	1.53	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.76	1.94	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
