ArrayID	Name	BitVector
ABCC8	ABCC8:ABCC8	200210020110
ACAD10	ACAD10:ACAD10	222111021110
ACOD1	ACOD1:ACOD1	000201000222
ACOT1	ACOT1:ACOT1	111111111111
ACOT11	ACOT11:ACOT11	111111111111
ACOX1	ACOX1:ACOX1	111111111111
ACTB	ACTB:ACTB	100011000222
ADAM19	ADAM19:ADAM19	000000000222
ADAM8	ADAM8:ADAM8	101201111111
ADAMTS1	ADAMTS1:ADAMTS1	120111020222
ADAMTS12	ADAMTS12:ADAMTS12	220100110110
ADAMTS14	ADAMTS14:ADAMTS14	111111111111
ADAMTS17	ADAMTS17:ADAMTS17	220200211110
ADAMTS2	ADAMTS2:ADAMTS2	111111111111
ADAMTS3	ADAMTS3:ADAMTS3	111111111111
ADAMTS4	ADAMTS4:ADAMTS4	220100100010
ADAMTS9	ADAMTS9:ADAMTS9	111111111111
ADAMTS9-AS2	ADAMTS9-AS2:ADAMTS9-AS2	111111111111
ADCYAP1R1	ADCYAP1R1:ADCYAP1R1	111111111111
ADGRE1	ADGRE1:ADGRE1	111111111111
ADGRE5	ADGRE5:ADGRE5	100212202121
ADORA2A	ADORA2A:ADORA2A	100111212222
ADORA3	ADORA3:ADORA3	220100000010
AIF1	AIF1:AIF1	222222020000
AKAP13	AKAP13:AKAP13	111111101111
ALCAM	ALCAM:ALCAM	111121011111
ALOX15	ALOX15:ALOX15	111111111111
ALOX5	ALOX5:ALOX5	222101000000
ANGPT1	ANGPT1:ANGPT1	220120010010
ANGPT2	ANGPT2:ANGPT2	111111111111
ANOS1	ANOS1:ANOS1	111111111111
ANXA1	ANXA1:ANXA1	111201111111
ANXA4	ANXA4:ANXA4	212111010111
AOAH	AOAH:AOAH	222111111010
APOE	APOE:APOE	200000000000
AREG	AREG:AREG	000202202101
ARF6	ARF6:ARF6	011111111111
ARHGEF28	ARHGEF28:ARHGEF28	102111111010
ARHGEF6	ARHGEF6:ARHGEF6	111111111111
ATF3	ATF3:ATF3	000222221112
B4GALT4	B4GALT4:B4GALT4	111111111111
BATF	BATF:BATF	110001010122
BATF3	BATF3:BATF3	000222112222
BCL10	BCL10:BCL10	111111111111
BCL2	BCL2:BCL2	000112121222
BCL6	BCL6:BCL6	111222222010
BID	BID:BID	111112101112
BIRC2	BIRC2:BIRC2	101211112011
BIRC3	BIRC3:BIRC3	001222222222
BIRC5	BIRC5:BIRC5	000222020100
BMP8A	BMP8A:BMP8A	201111000100
BTG2	BTG2:BTG2	000112111121
BTK	BTK:BTK	201111110010
BTLA	BTLA:BTLA	221112121111
C1QA	C1QA:C1QA	111111111111
C1QB	C1QB:C1QB	220101020220
C1QC	C1QC:C1QC	111111111121
C3	C3:C3	100001011222
C3AR1	C3AR1:C3AR1	221111111010
C4A	C4A:C4A	111211111111
C5	C5:C5	111111111111
C5AR1	C5AR1:C5AR1	221100000000
CALR	CALR:CALR	100111000222
CAMP	CAMP:CAMP	111111111111
CASP10	CASP10:CASP10	110211221121
CASP5	CASP5:CASP5	111111111111
CASP7	CASP7:CASP7	101101111212
CAV1	CAV1:CAV1	111111111111
CBR1	CBR1:CBR1	110101010211
CCL1	CCL1:CCL1	000002012222
CCL11	CCL11:CCL11	200100111110
CCL13	CCL13:CCL13	111111111111
CCL17	CCL17:CCL17	111111111121
CCL18	CCL18:CCL18	000010100221
CCL19	CCL19:CCL19	000000000222
CCL2	CCL2:CCL2	222102000011
