ProbeID	Ptr	Name	Description
ENSG00000282431	189	TRBD1	ENST00000632684.1
ENSG00000237235	254	TRDD2	ENST00000434970.2
ENSG00000228985	319	TRDD3	ENST00000448914.1
ENSG00000223997	384	TRDD1	ENST00000415118.1
ENSG00000282253	449	TRBD1	ENST00000631435.1
ENSG00000211923	514	IGHD3-10	ENST00000390583.1
ENSG00000211917	582	IGHD3-16	ENST00000390577.1
ENSG00000227108	650	IGHD1-14	ENST00000451044.1
ENSG00000211918	718	IGHD2-15	ENST00000390578.1
ENSG00000211912	786	IGHD2-21	ENST00000390572.1
ENSG00000282042	854	IGHD6-13	ENST00000632859.1
ENSG00000282455	922	IGHD7-27	ENST00000632524.1
ENSG00000211930	990	IGHD3-3	ENST00000390590.1
ENSG00000211928	1057	IGHD5-5	ENST00000390588.1
ENSG00000227800	1124	IGHD4-17	ENST00000431870.1
ENSG00000232543	1192	IGHD4-11	ENST00000431440.2
ENSG00000211915	1260	IGHD5-18	ENST00000390575.1
ENSG00000211911	1328	IGHD3-22	ENST00000390571.1
ENSG00000227196	1396	IGHD4-23	ENST00000437320.1
ENSG00000211909	1464	IGHD5-24	ENST00000390569.1
ENSG00000211931	1532	IGHD2-2	ENST00000390591.1
ENSG00000233655	1599	IGHD4-4	ENST00000414852.1
ENSG00000211925	1666	IGHD2-8	ENST00000390585.1
ENSG00000211921	1733	IGHD5-12	ENST00000390581.1
ENSG00000211920	1801	IGHD6-13	ENST00000390580.1
ENSG00000211914	1869	IGHD6-19	ENST00000390574.1
ENSG00000225825	1937	IGHD6-25	ENST00000452198.1
ENSG00000270185	2005	IGHD1OR15-1B	ENST00000604838.1
ENSG00000228131	2077	IGHD6-6	ENST00000454691.1
ENSG00000237197	2144	IGHD1-7	ENST00000430425.1
ENSG00000211924	2211	IGHD3-9	ENST00000390584.1
ENSG00000236170	2278	IGHD1-1	ENST00000454908.1
ENSG00000282010	2345	IGHD6-6	ENST00000632542.1
ENSG00000282592	2412	IGHD1-20	ENST00000632968.1
ENSG00000282089	2480	IGHD3OR15-3B	ENST00000603935.1
ENSG00000270824	2552	IGHD5OR15-5B	ENST00000604446.1
ENSG00000271336	2624	IGHD1OR15-1A	ENST00000605284.1
ENSG00000282674	2696	IGHD5-24	ENST00000632963.1
ENSG00000282520	2764	IGHD3OR15-3A	ENST00000604950.1
ENSG00000237020	2836	IGHD1-20	ENST00000450276.1
ENSG00000211907	2904	IGHD1-26	ENST00000390567.1
ENSG00000236597	2972	IGHD7-27	ENST00000439842.1
ENSG00000282754	3040	IGHD3-3	ENST00000633353.1
ENSG00000282736	3107	IGHD1-14	ENST00000631884.1
ENSG00000282714	3175	IGHD1-1	ENST00000633210.1
ENSG00000282578	3242	IGHD2-2	ENST00000631803.1
ENSG00000271317	3309	IGHD4OR15-4A	ENST00000603326.1
ENSG00000282268	3381	IGHD2OR15-2B	ENST00000604102.1
ENSG00000270451	3453	IGHD4OR15-4B	ENST00000603693.1
ENSG00000282132	3525	IGHD2-8	ENST00000633504.1
ENSG00000281940	3592	IGHD4-11	ENST00000634154.1
ENSG00000282102	3660	IGHD5-12	ENST00000631895.1
ENSG00000282818	3728	IGHD2-15	ENST00000632473.1
ENSG00000282323	3796	IGHD1-26	ENST00000633009.1
ENSG00000282599	3864	IGHD2OR15-2A	ENST00000603077.1
ENSG00000282373	3936	IGHD3-10	ENST00000632609.1
ENSG00000281984	4004	IGHD2-21	ENST00000632619.1
ENSG00000282396	4072	IGHD3-22	ENST00000633765.1
ENSG00000282640	4140	IGHD4-23	ENST00000633030.1
ENSG00000281939	4208	IGHD3-9	ENST00000632911.1
ENSG00000282346	4275	IGHD5-18	ENST00000631871.1
ENSG00000282274	4343	IGHD4-17	ENST00000633010.1
ENSG00000270961	4411	IGHD5OR15-5A	ENST00000604642.1
ENSG00000282232	4483	IGHD3-16	ENST00000633379.1
ENSG00000282487	4551	IGHD6-19	ENST00000633159.1
