ArrayID	time	status	c Sample ID	c Description	c Type
Lynch_2_TCNI_S43			Lynch_2_TCNI_S43	Pediatric Lynch organoid non-involved	non-involved
org_H14_Colon_p13_S1			org_H14_Colon_p13_S1	Healthy organoids	healthy
FAP_7_polyp_S46			FAP_7_polyp_S46	Pediatric FAP organoid polyp	polyp
FAP1_polyp_S41			FAP1_polyp_S41	Pediatric FAP organoid polyp	polyp
FAP1_NI_S40			FAP1_NI_S40	Pediatric FAP organoid non-involved	non-involved
PJS1_TC_polyp_S44			PJS1_TC_polyp_S44	Pediatric PJS organoid polyp	polyp
NI_ADULT_S72			NI_ADULT_S72	Adult CRC organoid non-involved	non-involved
FAP_7_NI_S45			FAP_7_NI_S45	Pediatric FAP organoid non-involved	non-involved
Lynch1_no_PF_S51			Lynch1_no_PF_S51	Pediatric Lynch organoid non-involved	non-involved
H9_S73			H9_S73	Healthy organoids	healthy
C112216_S47			C112216_S47	Adult CRC organoid polyp	polyp
FAP4_polyp_S42			FAP4_polyp_S42	Pediatric FAP organoid polyp	polyp
